iter	RMSE
0	0.8350922439
1	0.7934338509
2	0.7550949699
3	0.720063496
4	0.6873172722
5	0.6579570776
6	0.6311793833
7	0.6057668355
8	0.5814272782
9	0.5589750042
10	0.5384332534
11	0.5184804758
12	0.5018924759
13	0.4854191101
14	0.4704205369
15	0.4576032921
16	0.4455643325
17	0.4340173944
18	0.423333726
19	0.4138125976
20	0.4051836804
21	0.3966957993
22	0.3890187854
23	0.3820461214
24	0.3762232124
25	0.3703030933
26	0.364839284
27	0.3597106101
28	0.3551315399
29	0.3509380169
30	0.3470597494
31	0.3433961649
32	0.3403673689
33	0.3374652861
34	0.3347067146
35	0.3319718984
36	0.329415426
37	0.3270388164
38	0.3250341248
39	0.3231187661
40	0.3215107644
41	0.3198620462
42	0.3183716098
43	0.3168710722
44	0.3157074537
45	0.3141085037
46	0.3129103344
47	0.3120001101
48	0.310992166
49	0.3100061836
50	0.3090833385
51	0.3081845367
52	0.3073430309
53	0.306554775
54	0.3057323802
55	0.3049738677
56	0.3040399367
57	0.3034687871
58	0.3023838134
59	0.3018267205
60	0.3010021886
61	0.3004548485
62	0.2999277579
63	0.2993249335
64	0.2988480303
65	0.2981961672
66	0.2975455336
67	0.2971200864
68	0.2967989315
69	0.296245976
70	0.2957800748
71	0.2954794447
72	0.2950332993
73	0.2944562128
74	0.2941528536
75	0.2937730253
76	0.2934520169
77	0.2931201514
78	0.2928359134
79	0.2925783851
80	0.2922169537
81	0.2918787707
82	0.2913529655
83	0.2911036898
84	0.2908514447
85	0.2904505536
86	0.2901414134
87	0.2898510527
88	0.289603421
89	0.2890646563
90	0.2888073649
91	0.2885642256
92	0.2882447985
93	0.287771314
94	0.2874907633
95	0.2871893307
96	0.2869663922
97	0.2867553691
98	0.2864558898
99	0.2859838778
100	0.2856338362
101	0.2852129797
102	0.2850831721
103	0.2848815271
104	0.2846080264
105	0.2843420345
106	0.2839441329
107	0.2837902598
108	0.2836090719
109	0.2832558232
110	0.2830513594
111	0.2826580809
112	0.2824958707
113	0.282373955
114	0.2822790738
115	0.282123246
116	0.2820056876
117	0.2818517354
118	0.2817014087
119	0.2815732077
120	0.2814453828
121	0.2809240025
122	0.2805526314
123	0.2803997366
124	0.2802817769
125	0.2800194914
126	0.2796958677
127	0.2792608362
128	0.2790399645
129	0.2788952937
130	0.2787882686
131	0.2786466553
132	0.2783716508
133	0.2780866762
134	0.2779247693
135	0.2778457711
136	0.2774797959
137	0.2772829453
138	0.2770760992
139	0.2769884896
140	0.2765474717
141	0.2763593708
142	0.2762238805
143	0.2760176781
144	0.2756494929
145	0.2754437609
146	0.2752487116
147	0.2750252202
148	0.274860039
149	0.2745490164
150	0.2743884128
151	0.2743008143
152	0.2739335037
153	0.2736292544
154	0.2734579601
155	0.2729846326
156	0.2728471525
157	0.2725598392
158	0.2723503806
159	0.2721718223
160	0.2718947378
161	0.271379642
162	0.2710847837
163	0.2709288486
164	0.2706195265
165	0.2705093425
166	0.2703591929
167	0.270136991
168	0.2699920989
169	0.2696260402
170	0.2694003523
171	0.2692245323
172	0.2689698084
173	0.2687849674
174	0.2686020039
175	0.2683679573
176	0.2682735951
177	0.2681425236
178	0.2680001475
179	0.2677556485
180	0.267610725
181	0.2675032269
182	0.2673158177
183	0.2668855854
184	0.2667864199
185	0.2664953929
186	0.2662758771
187	0.2661328035
188	0.2659880479
189	0.2657196716
190	0.265479796
191	0.2652673215
192	0.2649687508
193	0.2648298327
194	0.2646696921
195	0.2643975633
196	0.2642741371
197	0.264020072
198	0.2638931955
199	0.263727197
200	0.263525537
201	0.263384452
202	0.2631618183
203	0.2629614076
204	0.2628159981
205	0.2625003627
206	0.2623284835
207	0.262028798
208	0.2619006194
209	0.2618423471
210	0.2616505259
211	0.2615403894
212	0.2614374029
213	0.2612756158
214	0.2610241963
215	0.2609563398
216	0.2608616627
217	0.2606583727
218	0.2604436675
219	0.2602671846
220	0.2601083296
221	0.2599816447
222	0.2598946034
223	0.2597398236
224	0.2596344258
225	0.2595320768
226	0.2592919438
227	0.2591848253
228	0.2589862837
229	0.2588751706
230	0.2586916175
231	0.2585744353
232	0.258497901
233	0.2583660803
234	0.258250583
235	0.2581547404
236	0.2580130096
237	0.2578792304
238	0.2577355496
239	0.2575430478
240	0.2573897919
241	0.2572952981
242	0.2571498475
243	0.2570308634
244	0.2568517657
245	0.256725763
246	0.2566204335
247	0.2565307415
248	0.2563981338
249	0.256234752
250	0.2560997414
251	0.2559734754
252	0.2558952337
253	0.2558053314
254	0.2556582703
255	0.2555495348
256	0.2554165715
257	0.2553220735
258	0.2551657141
259	0.2550363686
260	0.2549042336
261	0.2548065308
262	0.2547007605
263	0.2546050114
264	0.2545093911
265	0.2543916025
266	0.2542902059
267	0.2542401937
268	0.2540907338
269	0.2540206749
270	0.2539297202
271	0.253765722
272	0.2534955056
