iter	Passed	Remaining
0	2	2446
1	4	2335
2	6	2280
3	9	2338
4	11	2377
5	14	2362
6	16	2329
7	18	2354
8	21	2325
9	23	2337
10	26	2342
11	28	2337
12	30	2318
13	32	2303
14	34	2288
15	36	2270
16	38	2253
17	41	2243
18	43	2247
19	45	2243
20	48	2238
21	50	2229
22	52	2215
23	54	2205
24	56	2191
25	58	2177
26	60	2172
27	62	2162
28	64	2153
29	66	2146
30	68	2141
31	70	2136
32	72	2131
33	74	2123
34	77	2123
35	79	2122
36	81	2125
37	83	2123
38	85	2118
39	87	2110
40	89	2102
41	91	2096
42	94	2098
43	96	2095
44	98	2095
45	100	2090
46	102	2082
47	104	2076
48	106	2070
49	108	2068
50	110	2064
51	113	2062
52	115	2058
53	117	2053
54	119	2046
55	121	2041
56	123	2036
57	125	2031
58	127	2031
59	129	2028
60	131	2028
61	134	2028
62	136	2025
63	138	2023
64	140	2022
65	142	2018
66	144	2015
67	146	2011
68	148	2010
69	151	2006
70	153	2004
71	155	1998
72	157	1995
73	159	1990
74	161	1986
75	162	1980
76	164	1976
77	167	1978
78	169	1978
79	171	1973
80	173	1970
81	175	1966
82	177	1962
83	179	1958
84	181	1954
85	183	1951
86	185	1949
87	187	1946
88	190	1946
89	192	1944
90	194	1939
91	196	1935
92	198	1933
93	200	1929
94	202	1925
95	204	1921
96	205	1917
97	207	1914
98	210	1914
99	212	1912
100	214	1910
101	216	1908
102	218	1903
103	220	1899
104	222	1896
105	224	1894
106	226	1892
107	228	1889
108	230	1887
109	232	1884
110	234	1880
111	236	1876
112	238	1872
113	240	1868
114	242	1864
115	243	1859
116	245	1854
117	247	1850
118	249	1847
119	251	1843
120	253	1839
121	255	1836
122	257	1832
123	259	1830
124	261	1829
125	263	1826
126	265	1824
127	267	1821
128	269	1819
129	271	1816
130	273	1812
131	275	1810
132	277	1809
133	279	1807
134	281	1805
135	283	1803
136	286	1802
137	288	1800
138	290	1798
139	292	1796
140	294	1795
141	296	1793
142	298	1791
143	301	1790
144	303	1788
145	305	1785
146	307	1782
147	309	1778
148	311	1776
149	313	1775
150	315	1774
151	317	1771
152	319	1770
153	321	1767
154	323	1764
155	325	1762
156	327	1759
157	329	1757
158	331	1754
159	333	1753
160	336	1753
161	338	1751
162	340	1749
163	342	1747
164	344	1744
165	346	1742
166	349	1741
167	351	1739
168	353	1737
169	355	1736
170	357	1733
171	359	1731
172	361	1730
173	364	1727
174	365	1725
175	368	1724
176	370	1721
177	372	1718
178	374	1716
179	376	1716
180	379	1715
181	381	1713
182	383	1712
183	385	1710
184	387	1707
185	389	1705
186	391	1702
187	394	1701
188	396	1700
189	398	1699
190	400	1697
191	402	1694
192	404	1693
193	406	1690
194	409	1689
195	411	1689
196	413	1687
197	415	1684
198	417	1681
199	419	1678
200	421	1676
201	423	1673
202	425	1672
203	428	1670
204	430	1669
205	432	1668
206	434	1666
207	437	1664
208	438	1661
209	440	1658
210	443	1657
211	445	1656
212	447	1654
213	450	1653
214	452	1650
215	454	1647
216	456	1645
217	458	1643
218	460	1641
219	462	1639
220	464	1637
221	466	1635
222	468	1633
223	470	1631
224	473	1629
225	475	1627
226	477	1626
227	479	1624
228	481	1622
229	483	1619
230	485	1617
231	488	1615
232	490	1613
233	492	1612
234	494	1609
235	496	1608
236	498	1605
237	500	1603
238	502	1601
239	505	1599
240	507	1597
241	509	1595
242	511	1593
243	513	1590
